,tp,tn,fp,fn,accuracy,precision,recall,f1,auc
KNNTuned,229.0,402.0,34.0,85.0,0.8413333333333334,0.8707224334600758,0.7292993630573248,0.7937608318890814,0.8256588558405891
LRTuned,278.0,400.0,36.0,36.0,0.904,0.8853503184713376,0.8853503184713376,0.8853503184713376,0.9013907555659441
