,tp,tn,fp,fn,accuracy,precision,recall,f1
Baseline,122.0,260.0,176.0,192.0,0.5093333333333333,0.4093959731543624,0.3885350318471338,0.3986928104575164
KNN,219.0,400.0,36.0,95.0,0.8253333333333334,0.8588235294117647,0.697452229299363,0.7697715289982426
