,tp,tn,fp,fn,accuracy,precision,recall,f1,auc
Baseline,34.0,50.0,46.0,45.0,0.48,0.425,0.4303797468354431,0.4276729559748428,0.4756065400843882
KNN,57.0,89.0,7.0,22.0,0.8342857142857143,0.890625,0.7215189873417721,0.7972027972027972,0.8243011603375527
LR,70.0,89.0,7.0,9.0,0.9085714285714286,0.9090909090909092,0.8860759493670886,0.8974358974358974,0.9065796413502112
C-Support SVC,0.0,96.0,0.0,79.0,0.5485714285714286,0.0,0.0,0.0,0.5
Nu-Support SVC,66.0,94.0,2.0,13.0,0.9142857142857144,0.9705882352941176,0.8354430379746836,0.8979591836734694,0.9073048523206751
Linear-Support SVC,70.0,84.0,12.0,9.0,0.88,0.8536585365853658,0.8860759493670886,0.8695652173913043,0.8805379746835444
DT,70.0,86.0,10.0,9.0,0.8914285714285715,0.875,0.8860759493670886,0.8805031446540881,0.8909546413502111
AdaBoost,69.0,90.0,6.0,10.0,0.9085714285714286,0.92,0.8734177215189873,0.8961038961038961,0.9054588607594936
BaggingClassifier,70.0,88.0,8.0,9.0,0.9028571428571428,0.8974358974358975,0.8860759493670886,0.8917197452229298,0.9013713080168776
RandomForest,71.0,92.0,4.0,8.0,0.9314285714285714,0.9466666666666668,0.8987341772151899,0.9220779220779222,0.9285337552742616
Gaussian NB,66.0,91.0,5.0,13.0,0.8971428571428571,0.9295774647887324,0.8354430379746836,0.88,0.8916798523206751
Bernoulli NB,0.0,96.0,0.0,79.0,0.5485714285714286,0.0,0.0,0.0,0.5
Multinomial NB,64.0,83.0,13.0,15.0,0.84,0.8311688311688312,0.810126582278481,0.8205128205128205,0.8373549578059073
Complement NB,64.0,83.0,13.0,15.0,0.84,0.8311688311688312,0.810126582278481,0.8205128205128205,0.8373549578059073
MLP,40.0,65.0,31.0,39.0,0.6,0.5633802816901409,0.5063291139240507,0.5333333333333333,0.5917062236286921
KNNTuned,62.0,91.0,5.0,17.0,0.8742857142857143,0.9253731343283582,0.7848101265822784,0.8493150684931507,0.8663633966244725
LRTuned,70.0,87.0,9.0,9.0,0.8971428571428571,0.8860759493670886,0.8860759493670886,0.8860759493670886,0.8961629746835443
DTTuned,68.0,87.0,9.0,11.0,0.8857142857142857,0.8831168831168831,0.8607594936708861,0.8717948717948718,0.8835047468354431
C-Support SVC Tuned,0.0,96.0,0.0,79.0,0.5485714285714286,0.0,0.0,0.0,0.5
Nu-Support SVC Tuned,66.0,94.0,2.0,13.0,0.9142857142857144,0.9705882352941176,0.8354430379746836,0.8979591836734694,0.9073048523206751
Linear-Support SVC Tuned,59.0,89.0,7.0,20.0,0.8457142857142858,0.8939393939393939,0.7468354430379747,0.8137931034482758,0.8369593881856541
TunedAdaBoost,69.0,90.0,6.0,10.0,0.9085714285714286,0.92,0.8734177215189873,0.8961038961038961,0.9054588607594936
RandomForestTuned,73.0,93.0,3.0,6.0,0.9485714285714286,0.9605263157894736,0.9240506329113924,0.9419354838709676,0.9464003164556962
MLPTuned,26.0,71.0,25.0,53.0,0.5542857142857143,0.5098039215686274,0.3291139240506329,0.4,0.5343486286919832
