team,year,leag,o_fgm,o_fga,o_ftm,o_fta,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_3pm,o_3pa,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_3pm,d_3pa,d_pts,pace,won,lost,class
MIN,2000,N,3148,6871,1364,1737,1002,2470,3472,2083,1899,682,1105,456,322,901,7982,2977,6588,1567,2164,967,2505,3472,1834,1656,583,1181,357,350,996,7871,93.633156,47,35,1
NJN,2000,N,2781,6550,1629,2146,909,2337,3246,1603,1982,649,1139,407,361,1084,7552,2937,6452,1664,2231,1001,2622,3623,1840,1808,619,1258,522,428,1189,7966,93.16439799999999,26,56,0
NYK,2000,N,2755,6198,1374,1727,773,2524,3297,1520,1863,545,1132,346,391,1115,7275,2568,6159,1478,2015,872,2418,3290,1573,1754,596,1147,338,445,1266,7059,88.46595,48,34,1
ORL,2000,N,3013,6873,1476,2068,1069,2450,3519,1803,2071,674,1216,481,490,1346,7992,2830,6499,1885,2566,1061,2609,3670,1793,1946,695,1325,440,366,1059,7911,95.624702,43,39,1
PHI,2000,N,2902,6487,1697,2277,1075,2600,3675,1692,1673,690,1231,408,262,803,7763,2871,6699,1243,1660,985,2366,3351,1771,1936,672,1215,458,427,1248,7412,92.495949,56,26,1
PHO,2000,N,2944,6757,1490,1973,970,2529,3499,1905,1864,775,1208,429,332,1054,7710,2792,6422,1618,2127,902,2588,3490,1653,1818,682,1382,416,327,937,7529,94.89364599999999,51,31,1
POR,2000,N,3004,6416,1447,1899,960,2481,3440,1963,1745,672,1211,419,369,1057,7824,2819,6436,1436,1930,946,2238,3184,1745,1737,646,1169,324,406,1103,7480,90.721977,50,32,1
SAC,2000,N,3132,6969,1600,2075,987,1718,3692,1852,1596,793,1178,432,479,1353,8343,3087,7139,1291,1724,1121,2643,3764,1816,1766,666,1277,476,401,1131,7866,97.465645,55,27,1
SAS,2000,N,2884,6262,1673,2340,902,2712,3614,1778,1551,568,1099,576,445,1094,7886,2837,6770,1233,1664,967,2432,3399,1617,1946,600,1060,426,343,1043,7250,91.163177,58,24,1
SEA,2000,N,3029,6649,1454,1986,999,2422,3421,1792,1733,657,1201,409,466,1169,7978,3076,6783,1353,1824,1046,2431,3477,1957,1817,648,1171,510,471,1351,7976,93.288414,44,38,0
TOR,2000,N,3048,6972,1482,1984,1118,2529,3647,2004,1745,599,1043,519,429,1164,8007,3009,6725,1425,1890,926,2511,3437,1696,1792,561,1095,439,379,1045,7822,93.652008,47,35,1
